time,latitude,longitude,depth,mag
2021-11-08T10:06:01.974Z,-35.5042,-71.4017,101.82,4.2
2021-10-13T20:42:58.147Z,-35.4329,-179.3916,10,4.7
2021-10-25T20:29:51.713Z,-35.3371,-15.2042,10,4.8
2021-10-11T02:46:52.554Z,-35.3186,-179.363,10,4.1
2021-10-30T23:02:40.981Z,-35.1792,-72.9854,9.84,4.1
2021-11-04T13:12:14.142Z,-34.8654,178.9862,246.77,4.4
2021-10-18T19:47:15.157Z,-34.3652,-14.815,10,4.7
2021-11-06T21:08:34.806Z,-34.0585,-179.6003,35,4.3
2021-11-08T06:16:27.185Z,-33.9731,-73.4161,10,4.6
2021-10-10T23:27:58.603Z,-33.6106,-177.9568,10,4.7
2021-10-13T04:05:20.091Z,-33.5689,-178.7168,10,4.3
2021-11-02T14:11:23.119Z,-33.5295,-179.2507,35,4.5
2021-10-23T02:13:56.569Z,-33.2697,-71.7802,34.56,4.6
2021-10-27T06:10:48.356Z,-33.1894,-179.2345,53.64,4.9
2021-10-26T03:35:42.518Z,-32.8027,-70.6713,89.89,4.7
2021-11-03T03:17:48.410Z,-32.6979,-70.0534,98.49,5.7
2021-10-25T14:39:39.204Z,-32.6743,-71.9471,27.12,4.3
2021-10-30T15:01:07.956Z,-32.2856,-178.2488,10,4.4
2021-10-16T18:45:01.303Z,-31.701,-72.0532,10,4.4
2021-10-15T05:41:39.886Z,-31.6866,-72.1108,10,4.3
2021-10-16T20:14:46.472Z,-31.6739,-72.0526,15.99,3.9
2021-10-16T03:37:24.314Z,-31.6615,-71.9962,21.14,4.1
2021-10-19T00:03:31.986Z,-31.6564,-72.0819,8.45,4.5
2021-10-24T05:10:06.718Z,-31.4252,-69.1665,148.38,4
2021-11-01T13:43:45.622Z,-31.3303,-71.9368,10,4
2021-10-15T00:59:45.991Z,-31.3149,-178.811,42.62,4.2
2021-10-16T16:05:28.992Z,-31.0797,-177.5661,10,4.9
2021-10-26T14:59:17.096Z,-30.8461,-179.0942,208.7,4.3
2021-10-11T19:24:54.298Z,-30.7078,-177.1991,10,4.5
2021-10-12T16:53:41.801Z,-30.5861,-178.2177,34.53,4.6
2021-10-30T19:00:58.623Z,-30.3902,-177.7631,35,4.6
2021-10-16T15:29:24.445Z,-30.364,-177.2655,10,4.4
2021-11-04T04:18:23.207Z,-30.3338,-71.308,51.56,4.8
2021-11-02T14:21:52.136Z,-30.2003,-177.0821,10,4.5
2021-10-17T02:30:57.016Z,-29.9485,-177.3935,10,5.1
2021-11-07T15:23:08.708Z,-29.7007,179.7812,454.1,4.1
2021-10-25T03:38:47.784Z,-29.6427,-177.199,35,4.9
2021-10-25T03:40:11.720Z,-29.4755,-177.1344,35,4.6
2021-10-29T19:42:31.213Z,-29.4146,-176.0962,10,5.5
2021-10-12T18:01:52.655Z,-29.3942,-71.9358,10,4
2021-10-31T00:48:34.240Z,-29.2754,-176.8077,10,4.9
2021-11-08T04:52:46.667Z,-29.1904,-71.0876,80.41,4.8
2021-10-15T00:07:59.247Z,-29.0151,-176.4824,10,4.4
2021-10-31T15:37:00.373Z,-28.9164,-177.5901,42.38,4.4
2021-10-21T18:17:27.473Z,-28.7942,-177.0959,35,4.5
2021-11-05T14:11:28.306Z,-28.6496,-71.4519,33.95,4.9
2021-10-26T18:46:14.049Z,-28.6152,-177.4109,56.88,4.9
2021-10-18T09:12:47.661Z,-28.4886,-62.8535,611.46,4.1
2021-10-31T09:18:15.637Z,-28.1924,-177.3586,64.32,5
2021-10-15T10:57:36.649Z,-27.7555,-71.1613,21.18,4.4
2021-10-30T20:31:28.763Z,-27.6931,73.9034,10,4.9
2021-10-19T18:37:55.689Z,-27.6881,-71.2506,17.09,4.2
2021-10-14T17:41:37.318Z,-27.5874,-70.9519,35,4.3
2021-10-11T15:13:32.364Z,-27.3176,-70.5912,61.5,4.2
2021-10-16T23:25:41.746Z,-26.3988,27.4532,13.09,4
2021-10-27T09:01:20.963Z,-26.3623,28.4239,5,4.1
2021-10-24T00:42:04.985Z,-26.233,178.5185,582.05,4.2
2021-10-17T13:04:03.980Z,-26.0267,-71.1255,12.46,4.4
2021-10-22T08:28:54.652Z,-26.0248,178.5513,596.56,4.3
2021-11-08T16:02:50.573Z,-25.6398,-178.4354,342.92,4.5
2021-10-18T06:24:16.346Z,-25.5621,-179.9818,498.5,4.8
2021-10-31T23:39:39.261Z,-25.3736,179.1491,494.73,4.4
2021-10-22T01:56:38.427Z,-25.3067,179.652,487.85,4.2
2021-10-21T08:10:43.974Z,-25.2396,179.644,497.22,6
2021-10-20T13:05:49.328Z,-25.2013,178.5764,603.61,4.1
2021-10-21T09:55:17.193Z,-25.1518,-179.9257,483.21,4.3
2021-11-03T17:47:28.646Z,-24.8823,179.7832,517.35,4.4
2021-10-16T04:12:15.911Z,-24.7084,-68.5069,116.78,4.2
2021-10-27T07:32:07.286Z,-24.6281,-179.9541,506.41,4.5
2021-10-13T22:00:34.014Z,-24.5942,-67.8136,132.43,4.3
2021-11-03T03:19:00.399Z,-24.4817,-175.9105,35,5.7
2021-10-15T03:53:27.825Z,-24.4347,-68.9389,92.4,4.5
2021-10-29T05:49:39.582Z,-24.4277,-67.3207,177.24,4.4
2021-10-31T13:04:15.930Z,-24.3584,-67.3616,203.38,4
2021-10-14T06:22:02.776Z,-24.3258,-179.7446,528.62,4.6
2021-10-24T16:52:35.348Z,-24.3249,-67.3499,191.46,4.2
2021-11-03T04:38:17.367Z,-24.3065,-175.7732,35,4.8
2021-10-12T17:47:04.057Z,-24.2838,-179.915,513.9,4.5
2021-11-06T20:32:52.855Z,-24.2797,179.9977,513.29,4.9
2021-10-28T23:52:46.637Z,-24.2124,-67.3591,199.19,4.4
2021-11-03T07:26:26.052Z,-24.1836,-175.8391,10,4.9
2021-10-26T14:20:48.520Z,-24.1771,-179.837,503.46,4.1
2021-10-23T08:21:43.427Z,-24.161,-67.0943,154.3,4.8
2021-10-14T18:23:02.355Z,-24.1516,-67.3164,189.98,4.2
2021-10-25T16:05:11.108Z,-24.1351,179.9919,524.61,4.7
2021-10-18T11:27:13.255Z,-24.0992,-67.3258,218.89,4.5
2021-10-17T16:56:42.320Z,-24.0947,-67.1943,187.96,4
2021-10-27T22:21:51.245Z,-24.0855,-66.806,199.59,4
2021-11-01T13:48:49.507Z,-24.0371,-179.8132,505.8,4.6
2021-10-15T11:38:30.064Z,-24.0282,-66.9889,237.95,4.4
2021-10-17T07:29:43.520Z,-23.9741,-67.0051,219.92,4.4
2021-11-05T02:30:49.967Z,-23.8947,-66.9052,232.8,4.2
2021-10-10T14:03:13.056Z,-23.8673,-66.9453,236.48,4.3
2021-10-15T21:46:37.095Z,-23.8654,-179.7868,550.44,4.3
2021-10-29T15:23:23.907Z,-23.8315,-179.6933,536.76,4.6
2021-10-14T07:19:18.094Z,-23.786,-179.9436,520.2,4.2
2021-10-30T07:03:09.320Z,-23.6817,-68.6388,115.12,4.2
2021-11-05T10:05:51.571Z,-23.6225,-179.9673,553.35,4.3
2021-10-16T11:58:22.743Z,-23.6021,-179.2537,535.91,4.1
2021-11-01T00:21:36.791Z,-23.5172,-174.4509,10,4.9
2021-10-18T17:59:48.093Z,-23.4314,172.3768,10,4.4
2021-11-02T02:25:55.816Z,-23.2369,179.7109,552.87,4.6
2021-11-05T01:15:50.435Z,-23.1523,-178.8539,438.77,4.5
2021-10-10T23:21:45.696Z,-23.1039,-66.8759,234.06,4.4
2021-10-31T01:43:41.685Z,-23.026,170.9645,10,4.4
2021-10-15T16:34:59.152Z,-23.0022,-179.2849,512.13,4.2
2021-10-29T23:19:17.796Z,-22.971,-174.0885,10,4.5
2021-10-28T06:03:11.030Z,-22.8447,-174.9461,10,5
2021-10-29T18:55:25.658Z,-22.7973,171.6169,10,4.7
2021-11-02T02:28:07.767Z,-22.7888,171.5916,10,5.4
2021-10-16T09:51:14.875Z,-22.7558,171.1404,10,4.3
2021-11-01T02:53:36.030Z,-22.6714,-174.8006,10,4.7
2021-11-01T03:45:05.022Z,-22.6565,-175.2223,10,4.8
2021-10-24T23:05:17.482Z,-22.5426,-174.5816,10,4.5
2021-11-04T03:23:48.925Z,-22.4706,-179.4689,568.68,4.4
2021-10-30T22:22:24.975Z,-22.4609,-174.4037,10,4.5
2021-10-11T02:14:50.653Z,-22.3968,-67.3437,178.19,4.5
2021-11-04T03:24:18.336Z,-22.3775,-66.2567,275.6,4
2021-10-22T04:20:50.629Z,-22.1605,-179.2438,585.61,4.3
2021-10-22T11:14:49.880Z,-22.1493,-69.1924,108.89,4.4
2021-10-23T19:43:39.320Z,-22.0535,-68.666,120.66,4.1
2021-10-24T19:47:10.197Z,-21.965,179.9548,586.83,4.5
2021-10-31T12:32:04.917Z,-21.8651,170.8184,126.2,4.9
2021-10-10T18:43:22.933Z,-21.7845,-68.4917,126.41,4.3
2021-11-06T02:04:16.941Z,-21.5989,-68.6491,140.79,4.2
2021-10-15T21:30:02.003Z,-21.4969,-178.7865,589.35,4.3
2021-11-01T00:00:45.626Z,-21.4704,168.9188,10,5.1
2021-10-12T06:04:10.874Z,-21.3964,174.4421,522.4,5.4
2021-11-06T13:03:02.864Z,-21.3208,-173.633,10,5.3
2021-10-17T16:57:44.088Z,-21.2598,-68.4756,124.82,4.2
2021-10-19T10:28:45.829Z,-21.2434,-175.7779,10,5.6
2021-10-16T08:20:59.711Z,-21.2159,-178.5935,582.36,4.2
2021-10-30T05:13:18.074Z,-21.1639,-68.6283,138.74,4.2
2021-11-04T01:14:22.584Z,-21.0877,-66.7379,253.29,4.2
2021-11-01T01:22:18.428Z,-20.792,-69.2242,114.75,4
2021-11-03T01:19:23.800Z,-20.7707,-178.5253,590.73,4.8
2021-10-18T15:29:32.279Z,-20.6024,-177.7006,510.87,4.3
2021-10-31T15:46:01.053Z,-20.4438,-68.8105,114.89,4.2
2021-11-06T20:45:56.954Z,-20.3541,-70.0249,53.74,2.7
2021-10-22T09:30:41.020Z,-20.2845,-70.2003,41.31,3.8
2021-10-15T21:12:44.241Z,-20.2662,-173.6829,10,4.5
2021-10-18T02:51:29.828Z,-20.1848,-70.5713,24.58,4
2021-10-20T11:09:40.154Z,-20.1594,-177.6284,528.04,4
2021-10-14T06:27:41.649Z,-20.1174,-70.1057,47.04,3.9
2021-10-12T03:59:50.633Z,-20.0265,169.2668,68.12,4.5
2021-10-10T07:47:05.398Z,-19.9303,-177.5662,371.76,4.3
2021-10-13T12:06:13.591Z,-19.8668,-69.1646,113.23,4
2021-11-06T07:12:36.324Z,-19.864,-177.4746,555.97,4.1
2021-10-15T17:14:13.264Z,-19.802,-177.7603,398.62,4.4
2021-10-19T00:44:59.631Z,-19.7631,-178.0946,437.08,4.2
2021-11-09T14:45:33.089Z,-19.6706,-69.4748,103.59,4.1
2021-11-05T21:45:07.990Z,-19.6491,33.7058,10,4.6
2021-10-30T08:05:19.393Z,-19.6218,-177.6398,379.04,5.5
